metric_name,metric_value,assessment_date,country
Estimated doubling time NPI,297.84799381461306,2020-09-09,SDN
NPI Reff,1.0163725320127437,2020-09-09,SDN
Estimated doubling time No NPI,290.1794476165296,2020-09-09,SDN
No NPI Reff,1.0168074411259616,2020-09-09,SDN
Current situation - WHO cases today,13437.0,2020-09-09,SDN
Current situation - WHO deaths today,833.0,2020-09-09,SDN
CFR,6.199300439086106,2020-09-09,SDN
Weekly new cases wrt last week - trend,3.174603174603185,2020-09-09,SDN
Weekly new deaths wrt last week - trend,0.0,2020-09-09,SDN
Estimated case reporting rate,3.3960163159456886,2020-09-09,SDN
NPI - projected reported cases in 4w - MIN,14282.730999999994,2020-09-09,SDN
NPI - projected reported cases in 4w - MAX,14544.2435,2020-09-09,SDN
NPI - projected TREND reported cases in 4w - MIN,5.717755884273885,2020-09-09,SDN
NPI - projected TREND reported cases in 4w - MAX,7.653416132701643,2020-09-09,SDN
NPI - projected reported deaths in 4w - MIN,896.8757500000003,2020-09-09,SDN
NPI - projected reported deaths in 4w - MAX,926.88975,2020-09-09,SDN
NPI - projected TREND reported deaths in 4w - MIN,7.099808280308395,2020-09-09,SDN
NPI - projected TREND reported deaths in 4w - MAX,10.683909696502502,2020-09-09,SDN
NO NPI - projected reported cases in 4w - MIN,14306.524500000005,2020-09-09,SDN
NO NPI - projected reported cases in 4w - MAX,14571.548999999999,2020-09-09,SDN
NO NPI - projected reported deaths in 4w - MIN,897.8734999999997,2020-09-09,SDN
NO NPI - projected reported deaths in 4w - MAX,928.137,2020-09-09,SDN
Hospitalizations current situation - MIN,117.73350000000003,2020-09-09,SDN
Hospitalizations current situation - MAX,195.29875,2020-09-09,SDN
NPI Hospitalizations projections 4w - MIN,188.69125000000003,2020-09-09,SDN
NPI Hospitalizations projections 4w - MAX,293.70700000000016,2020-09-09,SDN
NO NPI Hospitalizations projections 4w - MIN,197.19725000000008,2020-09-09,SDN
NO NPI Hospitalizations projections 4w - MAX,305.4029999999999,2020-09-09,SDN
Estimated doubling time NPI,273.5973733156646,2020-09-23,SDN
NPI Reff,1.0178316768386646,2020-09-23,SDN
Estimated doubling time No NPI,259.5722667388337,2020-09-23,SDN
No NPI Reff,1.0188007103686976,2020-09-23,SDN
Current situation - WHO cases today,13578.0,2020-09-23,SDN
Current situation - WHO deaths today,836.0,2020-09-23,SDN
CFR,6.157018706731478,2020-09-23,SDN
Weekly new cases wrt last week - trend,3.1746031746031855,2020-09-23,SDN
Weekly new deaths wrt last week - trend,0.0,2020-09-23,SDN
Estimated case reporting rate,3.3962369561351387,2020-09-23,SDN
NPI - projected reported cases in 4w - MIN,14729.90175,2020-09-23,SDN
NPI - projected reported cases in 4w - MAX,15184.9585,2020-09-23,SDN
NPI - projected TREND reported cases in 4w - MIN,5.6934548622435335,2020-09-23,SDN
NPI - projected TREND reported cases in 4w - MAX,8.958685064195437,2020-09-23,SDN
NPI - projected reported deaths in 4w - MIN,933.6930000000003,2020-09-23,SDN
NPI - projected reported deaths in 4w - MAX,982.99825,2020-09-23,SDN
NPI - projected TREND reported deaths in 4w - MIN,7.190250056970796,2020-09-23,SDN
NPI - projected TREND reported deaths in 4w - MAX,12.850613877435787,2020-09-23,SDN
NO NPI - projected reported cases in 4w - MIN,14792.9215,2020-09-23,SDN
NO NPI - projected reported cases in 4w - MAX,15252.51725,2020-09-23,SDN
NO NPI - projected reported deaths in 4w - MIN,936.717,2020-09-23,SDN
NO NPI - projected reported deaths in 4w - MAX,986.76125,2020-09-23,SDN
Hospitalizations current situation - MIN,167.84775,2020-09-23,SDN
Hospitalizations current situation - MAX,260.3884999999999,2020-09-23,SDN
NPI Hospitalizations projections 4w - MIN,210.623,2020-09-23,SDN
NPI Hospitalizations projections 4w - MAX,340.043,2020-09-23,SDN
NO NPI Hospitalizations projections 4w - MIN,227.8175,2020-09-23,SDN
NO NPI Hospitalizations projections 4w - MAX,363.08025,2020-09-23,SDN
